TC_ID,Module,Test Scenario,Test Case Description,Preconditions,Test Steps,Test Data,Expected Result,Priority,Test Type
TC_025,Update Booking,Invalid Payload Update,Verify update with invalid payload,Booking exists,Send PUT request,Invalid JSON,Validation error,High,Negative
TC_026,Update Booking,Update Non-existing Booking,Verify update on non-existing booking,Valid token,Send PUT request,Invalid Booking ID,Not Found response,Medium,Negative
TC_027,Update Booking,Boundary Value Update,Verify update using boundary field values,Booking exists,Send PUT request,Min/Max values,Update successful,Medium,Boundary
TC_028,Partial Update,Valid Partial Update,Verify PATCH updates selected fields,"Booking exists, Token available",Send PATCH request,Partial payload,Selected fields updated,High,Positive
TC_029,Partial Update,Unauthorized Partial Update,Verify PATCH without authentication,Booking exists,Send PATCH request,No token,Unauthorized response,High,Negative
TC_030,Partial Update,Invalid Partial Payload,Verify PATCH with invalid field values,Booking exists,Send PATCH request,Invalid data,Validation error,Medium,Validation
TC_031,Delete Booking,Valid Delete,Verify successful booking deletion,"Booking exists, Token available",Send DELETE request,Valid Booking ID,Booking deleted successfully,High,Positive
TC_032,Delete Booking,Delete Without Token,Verify delete operation without authentication,Booking exists,Send DELETE request,No token,Unauthorized response,High,Negative
TC_033,Delete Booking,Delete Invalid Booking ID,Verify delete using invalid ID,Valid token,Send DELETE request,Invalid ID,Error response returned,Medium,Negative
TC_034,Delete Booking,Delete Already Deleted Booking,Verify repeated delete request,Booking deleted,Send DELETE request again,Same ID,Not Found response,Medium,Negative
TC_035,Delete Booking,Verify Data Removal,Confirm booking is removed after deletion,Booking deleted,Execute GET request,Deleted ID,Booking not found,High,Validation
TC_036,Data Validation,Invalid Data Type,Verify validation for incorrect data types,API available,Submit request,String instead of integer,Validation error,High,Validation
TC_037,Data Validation,Empty Request Body,Verify API behavior for empty payload,API available,Send request,Empty JSON,Validation error,High,Validation
TC_038,Data Validation,Null Mandatory Fields,Verify mandatory field validation,API available,Submit request,Null values,Validation error,High,Validation
TC_039,Data Validation,Unsupported Characters,Verify validation of special characters,API available,Submit request,Invalid symbols,Validation error,Medium,Validation
TC_040,Security Testing,SQL Injection,Verify API protection against SQL Injection,API available,Send malicious payload,SQL query string,Request rejected,High,Security
TC_041,Security Testing,XSS Attack,Verify API protection against XSS,API available,Submit script tag,<script>alert(1)</script>,Input sanitized/rejected,High,Security
TC_042,Security Testing,Sensitive Data Exposure,Verify sensitive information is not exposed,API available,Execute requests,Valid requests,No sensitive data returned,High,Security
TC_043,Performance Testing,Response Time Validation,Verify API response under normal load,API available,Execute requests,Standard payload,Response within SLA,Medium,Performance
TC_044,Performance Testing,Peak Load Validation,Verify response under high traffic,Load tool available,Simulate concurrent users,100+ requests,Stable response,Medium,Performance
TC_045,Load Testing,Stress Test API,Verify API behavior beyond expected load,Load environment available,Increase request volume,High concurrency,Graceful degradation,Medium,Performance
TC_046,Concurrency Testing,Simultaneous Updates,Verify concurrent booking updates,Multiple users available,Update same booking simultaneously,Multiple requests,Data consistency maintained,High,Concurrency
TC_047,Integration Testing,CRUD End-to-End Flow,Verify Create ? Read ? Update ? Delete workflow,API available,Execute full flow,Valid booking data,Entire flow successful,High,Integration
TC_048,Rate Limiting,Excessive Requests,Verify API rate limiting rules,API available,Send rapid requests,Large request volume,Rate limit response returned,Medium,Validation
TC_049,Compatibility Testing,Cross-Platform API Access,Verify API works across supported platforms,Multiple environments available,Execute API calls,Windows/Mac/Mobile,Consistent behavior,Low,Compatibility
TC_050,Regression Testing,Verify Existing Functionality After Changes,Ensure existing CRUD features continue to work,Updated build available,Execute regression suite,Existing test data,No functionality broken,High,Regression
